CERT,NAME,CITY
14,STATE STREET BANK&TRUST CO,BOSTON
35,AUBURNBANK,AUBURN
39,ROBERTSON BANKING CO,DEMOPOLIS
41,PHENIX-GIRARD BANK,PHENIX CITY
49,BANK OF EVERGREEN,EVERGREEN
50,COMMUNITY SPIRIT BANK,RED BAY
51,BANK OF VERNON,VERNON
52,CITIZENS BANK OF WINFIELD,WINFIELD
54,EXCHANGE BANK OF ALABAMA,ALTOONA
58,UNITED BANK,ATMORE
70,PEOPLES EXCHANGE BANK,MONROEVILLE
72,CENTRAL STATE BANK,CALERA
77,BANKSOUTH,DOTHAN
81,WARREN BANK&TRUST CO,WARREN
88,GENERATIONS BANK,ROGERS
89,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE
90,COMMERCIAL BANK&TRUST CO,MONTICELLO
93,RIVERSIDE BANK,SPARKMAN
99,BANK OF DELIGHT,DELIGHT
105,BANK OF CAVE CITY,CAVE CITY
107,MERCHANTS&PLANTERS BANK,CLARENDON
109,HORATIO STATE BANK,HORATIO
110,BANK OZK,LITTLE ROCK
131,SEACOAST NATIONAL BANK,STUART
147,CENTURY BANK&TRUST,MILLEDGEVILLE
148,BANK OF MADISON,MADISON
149,BANK OF HAZLEHURST,HAZLEHURST
155,BANK OF ALAPAHA,ALAPAHA
160,EXCHANGE BANK,MILLEDGEVILLE
169,FIRST NB OF GRIFFIN,GRIFFIN
170,PEOPLES BANK OF GEORGIA,TALBOTTON
172,UNITED BANK,ZEBULON
175,COMMERCIAL BANK,CRAWFORD
178,TALBOT STATE BANK,WOODLAND
183,MERCHANTS&CITIZENS BANK,MCRAE
197,ALLIANCE BANK,FRANCESVILLE
210,TRI-COUNTY BANK&TRUST CO,ROACHDALE
214,WASHINGTON STATE BANK,WASHINGTON
226,GUTHRIE COUNTY STATE BANK,PANORA
228,AMERICAN STATE BANK,SIOUX CENTER
230,COMMUNITY STATE BANK,SPENCER
231,COMMERCIAL SAVINGS BANK,CARROLL
232,SOLON STATE BANK,SOLON
234,POCAHONTAS STATE BANK,POCAHONTAS
235,SECURITY STATE BANK,SUTHERLAND
245,RACCOON VALLEY BANK,PERRY
248,STATE SAVINGS BANK,WEST DES MOINES
251,FIRST SECURITY BANK,MAPLETON
252,PINNACLE BANK,MARSHALLTOWN
253,LUANA SAVINGS BANK,LUANA
254,FIRST WHITNEY BANK&TRUST,ATLANTIC
258,STOCK YARDS BANK&TRUST CO,LOUISVILLE
262,CITIZENS BANK,MOUNT VERNON
267,KENTUCKY FARMERS BANK CORP,CATLETTSBURG
275,MORGANTOWN BANK&TRUST CO INC,MORGANTOWN
281,HYDEN CITIZENS BANK,HYDEN
284,AUBURN BANKING CO,AUBURN
287,COMMUNITY FINL SERVICES BK,BENTON
288,FARMERS&TRADERS BK CAMPTON,CAMPTON
289,BANK OF HINDMAN,HINDMAN
291,JACKSON COUNTY BANK,MC KEE
292,MONTICELLO BANKING CO,MONTICELLO
296,BANK OF EDMONSON COUNTY,BROWNSVILLE
297,LEWISBURG BANKING CO,LEWISBURG
303,UNITED CUMBERLAND BANK,WHITLEY CITY
304,CLINTON BANK,CLINTON
306,BANK OF ZACHARY,ZACHARY
307,LANDMARK BANK,CLINTON
314,MER ROUGE STATE BANK,MER ROUGE
321,HOLMES COUNTY BANK,LEXINGTON
324,CITIZENS BANK,COLUMBIA
327,MERCHANTS&PLANTERS BANK,RAYMOND
340,PEOPLES BANK BILOXI MS,BILOXI
342,FARMERS STATE BANK,VICTOR
352,BANK OF BAKER,BAKER
363,FIRST MONTANA BANK INC,MISSOULA
384,OHIO VALLEY BANK CO,GALLIPOLIS
389,PEOPLES BANK,GAMBIER
399,FIRST SUMMIT BANK,RYAN
402,SOONER STATE BANK,TUTTLE
404,FARMERS STATE BANK,QUINTON
406,CLEO STATE BANK,CLEO SPRINGS
414,STOCK EXCHANGE BANK,WOODWARD
418,HIGH PLAINS BANK,OKEENE
420,BANK OF VICI,VICI
421,SECURITY STATE BANK,CHEYENNE
428,AMERICAN EXCHANGE BANK,HENRYETTA
432,SECURITY FIRST NB OF HUGO,HUGO
444,PS BANK,WYALUSING
445,MERCER COUNTY STATE BANK,SANDY LAKE
485,SECURITY BANK MIDWEST,TYNDALL
492,WESTERN DAKOTA BANK,TIMBER LAKE
496,BANKSTAR FINANCIAL,ELKTON
501,FARMERS&MERCHANTS STATE BANK,PLANKINTON
505,GREAT PLAINS BANK,EUREKA
526,FARMERS STATE BANK,PINE BLUFFS
529,CENTRAL BANK&TRUST,LANDER
588,MANUFACTURERS&TRADERS TR CO,BUFFALO
597,CHEMUNG CANAL TRUST CO,ELMIRA
609,TOMPKINS COMMUNITY BANK,ITHACA
618,BANK OF MILLBROOK,MILLBROOK
622,AMALGAMATED BANK,NEW YORK
623,DEUTSCHE BANK TR CO AMERICAS,NEW YORK
628,JPMORGAN CHASE BANK NA,COLUMBUS
639,BANK OF NEW YORK MELLON,NEW YORK
659,FIVE STAR BANK,WARSAW
660,ADIRONDACK TRUST CO,SARATOGA SPRINGS
686,JOURNEY BANK,BLOOMSBURG
698,WAYNE BANK,HONESDALE
713,ORRSTOWN BANK,HARRISBURG
737,APPLE CREEK BANKING CO,APPLE CREEK
763,MINSTER BANK,MINSTER
769,FARMERS BANK&SAVINGS CO,POMEROY
803,WESBANCO BANK INC,WHEELING
823,CITIZENS BANK&TRUST CO,BLACKSTONE
845,BANK OF ROMNEY,ROMNEY
847,PLEASANTS COUNTY BANK,SAINT MARYS
855,MERCHANTS&FARMERS BK GREENE,EUTAW
861,STATE BANK&TRUST,WINFIELD
872,STATE BANK OF COCHRAN,COCHRAN
873,SYNOVUS BANK,COLUMBUS
876,BANK OF DAWSON,DAWSON
877,MAGNOLIA STATE BANK,EASTMAN
879,FARMERS STATE BANK,LINCOLNTON
889,GEORGIA FIRST BANK,SOPERTON
893,CITIZENS BANK,CARTHAGE
898,BANK OF FOREST,FOREST
899,GERBER STATE BANK,ARGENTA
902,BYRON BANK,BYRON
903,AMALGAMATED BANK OF CHICAGO,CHICAGO
913,NORTHERN TRUST CO,CHICAGO
925,STATE BANK OF GENEVA,GENEVA
926,PEOPLES NB OF KEWANEE,KEWANEE
