REPGROUP,REPTYPE,FIELDS
Assets & Liabilities,Total Assets,"CERT,RSSDHCR,NAMEFULL,CITY,STALP,ZIP,REPDTE,BKCLASS,NAMEHCR,OFFDOM,SPECGRP,SUBCHAPS,ESTYMD,INSDATE,EFFDATE,MUTUAL,PARCERT,TRUST,REGAGNT,INSAGNT1,FDICDBS,FDICSUPV,FLDOFF,FED,OCCDIST,OTSREGNM,OFFOA,CB,ASSET,CHBAL,CHBALNI,CHBALI,CHCIC,CHITEM,CHCOIN,CHUS,CHNUS,CHFRB,SC,SCUS,SCUST,SCUSO,SCASPNSUM,SCFMN,SCGNM,SCCOL,SCCPTG,SCCMOG,SCMUNI,SCDOMO,SCRMBPI,SCCMOS,SCABS,SCSFP,SCODOT,SCFORD,SCEQNFT,SCEQ,SCEQFV,SCHTMRES,SCTATFR,SCPLEDGE,SCMTGBK,SCGTY,SCODPC,SCODPI,SCCMPT,SCCMOT,SCHA,SCAF,SCRDEBT,SCPT3LES,SCPT3T12,SCPT3T5,SCPT5T15,SCPTOV15,SCO3YLES,SCOOV3Y,SCNM3LES,SCNM3T12,SCNM1T3,SCNM3T5,SCNM5T15,SCNMOV15,SC1LES,SCSNHAA,SCSNHAF,TRADE,TRREVALSUM,TRLREVAL,FREPO,LNLSNET,LNATRES,LNLSGR,LNCONTRA,LNLSGRS,LNRE,LNREDOM,LNRECONS,LNRENRES,LNREMULT,LNRERES,LNREAG,LNREFOR,LNAG,LNCI,LNCON,LNCRCD,LNCONRP,LNAUTO,LNCONOTH,LNOTCI,LNFG,LNMUNI,LNSOTHER,LS,LNCOMRE,LNRENUS,LNPLEDGE,RB2LNRES,LNLSSALE,LNEXAMT,LNRENROW,LNRENROT,LNRERSFM,LNRERSF2,LNRELOC,LNRERSF1,LNRECNFM,LNRECNOT,RSLNLTOT,RSLNREFM,RSLNLS,P3RSLNLT,P3RSLNFM,P3RSLNLS,P9RSLNLT,P9RSLNFM,P9RSLNLS,NARSLNLT,NARSLNFM,NARSLNLS,LNLSGRF,UNINCFOR,LNLSFOR,LNDEPAOBK,LNDEPCBF,LNDEPUSF,LNDEPFCF,LNAGFOR,LNCIFOR,LNCINUSF,LNCONFOR,LNFGFOR,LNMUNIF,LNOTHERF,LSFOR,LNRS3LES,LNRS3T12,LNRS1T3,LNRS3T5,LNRS5T15,LNRSOV15,LNOT3LES,LNOT3T12,LNOT1T3,LNOT3T5,LNOT5T15,LNOTOV15,LNRENR4,LNRENR1,LNRENR2,LNRENR3,LNCI4,LNCI1,LNCI2,LNCI3,LNREAG4,LNREAG1,LNREAG2,LNREAG3,LNAG4,LNAG1,LNAG2,LNAG3,LNRENR4N,LNRENR1N,LNRENR2N,LNRENR3N,LNCI4N,LNCI1N,LNCI2N,LNCI3N,LNREAG4N,LNREAG1N,LNREAG2N,LNREAG3N,LNAG4N,LNAG1N,LNAG2N,LNAG3N,PPPLNNUM,PPPLNBAL,PPPLNPLG,PPPLF1LS,PPPLFOV1,AVPPPPLG,MMLFBAL,AVMMLF,BKPREM,ORE,OREINV,OREOTH,ORERES,OREMULT,ORENRES,ORECONS,OREAG,OREOTHF,INTAN,INTANGW,INTANMSR,INTANOTH,AOA"
Assets & Liabilities,Total Liabilities and Capital,"CERT,RSSDHCR,NAMEFULL,CITY,STALP,ZIP,REPDTE,BKCLASS,NAMEHCR,OFFDOM,SPECGRP,SUBCHAPS,ESTYMD,INSDATE,EFFDATE,MUTUAL,PARCERT,TRUST,REGAGNT,INSAGNT1,FDICDBS,FDICSUPV,FLDOFF,FED,OCCDIST,OTSREGNM,OFFOA,CB,LIABEQ,LIAB,DEP,DEPDOM,ESTINS,TRN,TRNIPCOC,TRNUSGOV,TRNMUNI,TRNCBO,TRNFCFG,NTR,NTRIPC,NTRUSGOV,NTRMUNI,NTRCOMOT,NTRFCFG,DEPFOR,DEPIPCCF,DEPUSBKF,DEPFBKF,DEPFGOVF,DEPUSMF,DEPNIFOR,DEPIFOR,DDT,NTRSMMDA,NTRSOTH,TS,DEPNIDOM,DEPIDOM,COREDEP,DEPINS,DEPUNA,IRAKEOGH,BRO,BROINS,DEPLSNB,DEPCSBQ,DEPSMAMT,DEPSMB,DEPLGAMT,DEPLGB,DEPSMRA,DEPSMRN,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRCDSM,NTRTMMED,NTRTMLGJ,CD3LESS,CD3T12S,CD1T3S,CDOV3S,CD3LES,CD3T12,CD1T3,CDOV3,FREPP,TRADEL,OTHBRF,OTBFH1L,OTBFH1T3,OTBFH3T5,OTBFHOV5,OTBFHSTA,OTBOT1L,OTBOT1T3,OTBOT3T5,OTBOTOV5,OTHBOT1L,SUBND,ALLOTHL,EQTOT,EQ,EQPP,EQCS,EQSUR,EQUPTOT,EQCONSUB,EQCPREV,EQCREST,NETINC,EQCSTKRX,EQCTRSTX,EQCMRG,EQCDIVP,EQCDIVC,EQCCOMPI,EQCBHCTR,ASSTLT,ASSET2,ASSET5,ERNAST,OALIFINS,OALIFGEN,OALIFHYB,OALIFSEP,AVASSETJ,RWAJT,RBCT2,RBCT1J,OTHBFHLB,VOLIAB"
Assets & Liabilities,Past Due and Nonaccrual Assets,"CERT,RSSDHCR,NAMEFULL,CITY,STALP,ZIP,REPDTE,BKCLASS,NAMEHCR,OFFDOM,SPECGRP,SUBCHAPS,ESTYMD,INSDATE,EFFDATE,MUTUAL,PARCERT,TRUST,REGAGNT,INSAGNT1,FDICDBS,FDICSUPV,FLDOFF,FED,OCCDIST,OTSREGNM,OFFOA,CB,P3ASSET,P3RE,P3RENUS,P3RELNDO,P3RECONS,P3RECNFM,P3RECNOT,P3REAG,P3RERES,P3RERSFM,P3RERSF2,P3RELOC,P3REMULT,P3RENRES,P3RENROW,P3RENROT,P3REFOR,P3DEP,P3DEPNUS,P3AG,P3CI,P3CINUS,P3CON,P3CRCD,P3AUTO,P3CONOTH,P3FG,P3OTHLN,P3LS,P3SCDEBT,P3AGSM,P3LNSALE,P3GTYPAR,P3GTY,P3GTYGNM,P9ASSET,P9RE,P9RENUS,P9RELNDO,P9RECONS,P9RECNFM,P9RECNOT,P9REAG,P9RERES,P9RERSFM,P9RERSF2,P9RELOC,P9REMULT,P9RENRES,P9RENROW,P9RENROT,P9REFOR,P9DEP,P9DEPNUS,P9AG,P9CI,P9CINUS,P9CON,P9CRCD,P9AUTO,P9CONOTH,P9FG,P9OTHLN,P9LS,P9SCDEBT,P9AGSM,P9LNSALE,P9GTYPAR,P9GTY,P9GTYGNM,NAASSET,NARE,NARENUS,NARELNDO,NARECONS,NARECNFM,NARECNOT,NAREAG,NARERES,NARERSFM,NARERSF2,NARELOC,NAREMULT,NARENRES,NARENROW,NARENROT,NAREFOR,NADEP,NADEPNUS,NAAG,NACI,NACINUS,NACON,NACRCD,NAAUTO,NACONOTH,NAFG,NAOTHLN,NALS,NASCDEBT,NAAGSM,NALNSALE,NAGTYPAR,NAGTY,NAGTYGNM"
Assets & Liabilities,Assets covered by loss-sharing agreements with the FDIC,"CERT,RSSDHCR,NAMEFULL,CITY,STALP,ZIP,REPDTE,BKCLASS,NAMEHCR,OFFDOM,SPECGRP,SUBCHAPS,ESTYMD,INSDATE,EFFDATE,MUTUAL,PARCERT,TRUST,REGAGNT,INSAGNT1,FDICDBS,FDICSUPV,FLDOFF,FED,OCCDIST,OTSREGNM,OFFOA,CB,LSALNLS,LRECONS,LREAG,LRERES,LREMULT,LRENRES,LCI,LCON,LAG,LOTH,P3LTOT,P3LRECON,P3LREAG,P3LRERES,P3LREMUL,P3LRENRS,P3LCI,P3LCON,P3LAG,P3LOTH,P3LGTY,P9LTOT,P9LRECON,P9LREAG,P9LRERES,P9LREMUL,P9LRENRS,P9LCI,P9LCON,P9LAG,P9LOTH,P9LGTY,NALTOT,NALRECON,NALREAG,NALRERES,NALREMUL,NALRENRS,NALCI,NALCON,NALAG,NALOTH,NALGTY,LSAORE,LOREGTY,LSASCDBT,LSAOA"
Assets & Liabilities,Off-Balance Sheet Items,"CERT,RSSDHCR,NAMEFULL,CITY,STALP,ZIP,REPDTE,BKCLASS,NAMEHCR,OFFDOM,SPECGRP,SUBCHAPS,ESTYMD,INSDATE,EFFDATE,MUTUAL,PARCERT,TRUST,REGAGNT,INSAGNT1,FDICDBS,FDICSUPV,FLDOFF,FED,OCCDIST,OTSREGNM,OFFOA,CB,OBSDIR,NACDIR,CTDERGTY,CTDERBEN,RT,RTNVS,RTFFC,RTWOC,RTPOC,FX,FXNVS,FXFFC,FXSPOT,FXWOC,FXPOC,EDCM,OTHNVS,OTHFFC,OTHWOC,OTHPOC,UC,UCLOC,UCCRCD,UCCOMRE,UCCOMRES,UCCOMREU,UCSC,UCOTHER,UCOVER1,SCLENT,OTHOFFBS,PARTCONV,LOCFPSB,LOCFPSBK,LOCFSB,LOCFSBK,LOCPSB,LOCPSBK,LOCCOM"
Assets & Liabilities,Fiduciary and Related Services,"CERT,RSSDHCR,NAMEFULL,CITY,STALP,ZIP,REPDTE,BKCLASS,NAMEHCR,OFFDOM,SPECGRP,SUBCHAPS,ESTYMD,INSDATE,EFFDATE,MUTUAL,PARCERT,TRUST,REGAGNT,INSAGNT1,FDICDBS,FDICSUPV,FLDOFF,FED,OCCDIST,OTSREGNM,OFFOA,CB,ASSET,DEP,TRPOWER,TREXER,TRACT,NFAA,TTNANUM,TPMANUM,TECMANUM,TEBMANUM,TORMANUM,TCAMANUM,TIMMANUM,TFEMANUM,TOFMANUM,TMAFNUM,TRHMANUM,TMASMFN,TTNMNUM,TPNMNUM,TECNMNUM,TEBNMNUM,TORNMNUM,TCANMNUM,TIMNMNUM,TFENMNUM,TOFNMNUM,TCSNMNUM,TNMNUMF,TRHNMNUM,TFRA,TTMA,TPMA,TECMA,TEBMA,TORMA,TCAMA,TIMMA,TFEMA,TOFMA,TMAF,TRHMA,TMASMF,TPIMATOT,TPINI,TPII,TPISCUS,TPISCMUN,TPIMMF,TPIEQF,TPIOTHF,TPITRF,TPISTO,TPIOTHB,TPIUF,TPICPS,TPIREMTG,TPIRE,TPIMISC,TEMATOT,TENI,TEI,TESCUS,TESCMUN,TEMMF,TEEQF,TEOTHF,TETRF,TESTO,TEOTHB,TEUF,TECPS,TEREMTG,TERE,TEMISC,TOMATOT,TONI,TOI,TOSCUS,TOSCMUN,TOMMF,TOEQF,TOOTHF,TOTRF,TOSTO,TOOTHB,TOUF,TOCPS,TOREMTG,TORE,TOMISC,TTNMA,TPNMA,TECNMA,TEBNMA,TORNMA,TCANMA,TIMNMA,TFENMA,TOFNMA,TCSNMA,TNMAF,TRHNMA,TCAPAO,TCAPAOD,TCANUM,TCANUMD,TCATNUM,TCTOTNUM,TCDENUM,TCIENUM,TCSBNUM,TCTBNUM,TCMBNUM,TCSTNUM,TCSONUM,TCTOTMV,TCDEMV,TCIEMV,TCSBMV,TCTBMV,TCMBMV,TCSTMV,TCSOMV,TIP,TIEC,TIEB,TIOR,TICA,TIMA,TIFE,TIOF,TICS,TIR,IFIDUC,TETOT,TNL,TINTRA,TNI,TITOTF,TTOTMAGL,TTOTNMGL,TPNMGL,TRTNMGL,TOFNMAGL,TTOTREC,TPTREC,TRTREC,TIMREC,TOFREC"
Assets & Liabilities,Bank Assets Sold and Securitized,"ASSET,DEP,CERT,RSSDHCR,NAMEFULL,CITY,STALP,ZIP,REPDTE,BKCLASS,NAMEHCR,OFFDOM,SPECGRP,SUBCHAPS,ESTYMD,INSDATE,EFFDATE,MUTUAL,PARCERT,TRUST,REGAGNT,INSAGNT1,FDICDBS,FDICSUPV,FLDOFF,FED,OCCDIST,OTSREGNM,OFFOA,CB,SZLNRES,SZISLRES,SZ30RES,SZ90RES,SZDRRES,SZCRRES,SZLNHEL,SZISLHEL,SZ30HEL,SZ90HEL,SZDRHEL,SZCRHEL,SZLNCRCD,SZISLCCD,SZ30CRCD,SZ90CRCD,SZDRCRCD,SZCRCRCD,SZLAUTO,SZISLAUT,SZ30AUTO,SZ90AUTO,SZDRAUTO,SZCRAUTO,SZLNCON,SZISLCON,SZ30CON,SZ90CON,SZDRCON,SZCRCON,SZLNCI,SZISLCI,SZ30CI,SZ90CI,SZDRCI,SZCRCI,SZLNOTH,SZISLOTH,SZ30OTH,SZ90OTH,SZDROTH,SZCROTH,ENCERES,ENCEAUTO,ENCECON,ENCECI,ENCEOTH,ASDRRES,ASCERES,ASDROTH,ASCEOTH,MSRECE,MSRNRECE,LNSERV,MSRESFCL,ABCXBK,ABCXOTH,ABCUBK,ABCUOTH,SZCRCDFE"
Income & Expenses,Total Interest Income,"ASSET,DEP,CERT,RSSDHCR,NAMEFULL,CITY,STALP,ZIP,REPDTE,BKCLASS,NAMEHCR,OFFDOM,SPECGRP,SUBCHAPS,ESTYMD,INSDATE,EFFDATE,MUTUAL,PARCERT,TRUST,REGAGNT,INSAGNT1,FDICDBS,FDICSUPV,FLDOFF,FED,OCCDIST,OTSREGNM,OFFOA,CB,INTINC,ILNDOM,ILNFOR,ILS,ICHBAL,ISC,ITRADE,IFREPO,IOTHII"
Income & Expenses,Total Interest Expense,"CERT,RSSDHCR,NAMEFULL,CITY,STALP,ZIP,REPDTE,BKCLASS,NAMEHCR,OFFDOM,SPECGRP,SUBCHAPS,ESTYMD,INSDATE,EFFDATE,MUTUAL,PARCERT,TRUST,REGAGNT,INSAGNT1,FDICDBS,FDICSUPV,FLDOFF,FED,OCCDIST,OTSREGNM,OFFOA,CB,EINTEXP,EDEPDOM,EDEPFOR,EFREPP,EOTHINT,NIM,ELNATR"
Income & Expenses,Total Noninterest Income,"ASSET,DEP,CERT,RSSDHCR,NAMEFULL,CITY,STALP,ZIP,REPDTE,BKCLASS,NAMEHCR,OFFDOM,SPECGRP,SUBCHAPS,ESTYMD,INSDATE,EFFDATE,MUTUAL,PARCERT,TRUST,REGAGNT,INSAGNT1,FDICDBS,FDICSUPV,FLDOFF,FED,OCCDIST,OTSREGNM,OFFOA,CB,NONII,IFIDUC,ISERCHG,IGLTRAD,IGLRTEX,IGLFXEX,IGLEDEX,IGLCMEX,IGLCREX,ADDNONII,IINVFEE,IVENCAP,ISERFEE,ISECZ,IINSCOM,IINSUND,IINSOTH,NETGNSLN,NETGNSRE,NETGNAST,IOTNII"
